uid,total
4,1
5,1
6,1
17,1
19,1
23,1
39,7
43,1
45,3
56,1
57,1
60,1
61,1
64,1
68,2
70,1
71,1
72,2
73,5
79,1
80,1
81,1
87,5
89,3
92,2
100,1
104,1
109,1
115,1
116,5
117,1
121,8
126,5
133,2
138,2
139,7
142,4
150,1
159,2
170,4
172,1
177,1
181,1
182,3
183,1
188,2
191,3
193,3
201,2
202,6
203,1
215,3
216,1
235,1
236,1
239,5
241,1
258,4
259,1
261,1
266,1
276,1
283,1
287,1
295,3
298,4
315,2
316,1
321,1
325,1
334,4
339,8
343,1
348,1
354,1
358,1
361,2
367,1
368,1
385,2
387,1
389,3
393,2
394,1
400,1
404,13
406,6
419,2
420,2
421,1
425,1
436,5
439,2
440,1
444,1
451,1
458,1
460,5
463,1
470,1
473,2
478,1
483,1
485,1
490,1
504,10
505,1
506,2
517,3
539,2
547,1
555,2
568,3
569,1
573,1
578,1
582,1
583,4
586,1
587,1
594,4
596,1
598,1
606,2
611,1
613,19
616,1
618,4
620,1
622,3
623,2
625,2
627,3
630,1
641,1
643,4
646,1
647,1
651,20
659,1
660,4
661,2
666,1
668,1
671,1
676,1
681,2
683,1
691,4
693,2
696,2
706,2
711,1
721,1
723,1
738,1
739,2
741,1
745,12
746,1
754,1
755,1
758,6
760,2
764,1
765,1
769,1
770,1
774,2
781,2
782,1
786,11
796,1
798,2
804,4
806,1
814,9
815,1
818,5
819,1
825,2
830,1
832,4
836,1
840,1
842,9
850,1
857,1
873,1
874,1
882,4
893,1
894,3
898,1
900,3
912,3
916,1
920,19
930,1
939,1
950,1
951,3
955,3
957,1
960,1
964,3
974,4
981,1
994,1
995,1
997,1
1000,5
1004,2
1008,1
1011,1
1017,1
1022,3
1023,1
1028,1
1032,3
1044,1
1048,1
1050,1
1053,2
1062,9
1063,2
1071,2
1075,2
1076,1
1098,2
1111,1
1112,1
1113,1
1132,2
1139,1
1148,1
1149,1
1153,2
1154,1
1158,1
1160,1
1166,2
1171,1
1175,4
1176,3
1181,1
1188,1
1192,1
1195,5
1205,2
1209,1
1216,6
1217,2
1224,1
1229,1
1230,1
1231,2
1232,2
1237,2
1238,2
1241,2
1244,1
1258,3
1259,1
1270,1
1285,1
1290,10
1308,1
1313,4
1314,1
1325,1
1327,2
1328,5
1332,1
1333,1
1337,4
1341,1
1348,1
1351,3
1355,5
1357,3
1358,1
1369,1
1373,1
1377,2
1379,10
1381,2
1385,2
1387,4
1396,4
1400,1
1402,3
1404,1
1418,2
1421,3
1429,1
1431,1
1435,1
1446,2
1447,1
1451,1
1452,2
1458,1
1459,6
1467,1
1475,1
1477,1
1478,3
1479,6
1480,1
1482,2
1484,7
1497,1
1518,1
1524,1
1529,2
1533,1
1539,3
1547,7
1562,1
1563,2
1575,1
1579,1
1585,1
1593,2
1594,2
1595,1
1598,1
1608,1
1609,1
1612,1
1614,2
1628,1
1631,4
1633,1
1641,1
1645,1
1653,2
1655,2
