uid,total
6,1
19,2
20,3
23,2
27,1
28,1
39,3
43,1
47,1
54,4
60,1
68,4
71,2
73,3
77,1
79,2
80,1
81,1
85,4
87,3
89,1
92,3
100,2
104,2
109,1
112,3
115,1
116,3
117,1
121,5
127,3
138,1
139,8
142,3
144,1
147,1
150,1
157,5
158,1
159,1
163,3
170,4
179,2
182,17
186,7
188,1
193,2
195,1
201,1
202,7
211,1
215,5
239,1
253,3
255,1
258,4
259,1
274,1
287,4
290,1
295,1
298,5
305,1
307,1
313,1
315,2
320,1
327,1
329,1
339,8
343,1
348,1
354,1
358,2
360,2
361,3
364,6
365,1
367,2
385,1
387,1
393,4
397,1
400,1
404,6
406,8
408,1
419,2
431,5
436,3
438,4
439,26
440,2
441,1
443,1
444,1
449,6
451,1
452,1
458,4
460,2
470,1
473,2
477,1
478,1
485,1
488,1
489,3
501,2
503,1
504,2
505,2
506,2
509,5
521,1
528,2
530,1
531,2
539,4
540,1
543,1
547,3
555,6
558,2
561,1
562,2
565,2
568,2
569,1
573,1
575,1
576,4
581,2
583,8
586,1
587,5
590,1
591,1
594,3
596,3
598,1
599,1
604,1
606,1
613,18
614,1
618,2
620,1
623,4
627,1
630,1
641,1
642,2
646,1
647,1
649,1
654,1
660,2
661,2
662,1
666,3
671,4
673,1
681,1
685,1
691,3
692,1
693,2
700,2
704,14
706,1
711,1
717,2
729,2
740,1
741,2
745,6
754,1
758,4
769,1
774,2
786,8
793,2
796,1
798,1
804,6
813,1
814,14
818,3
819,1
825,2
828,2
832,3
837,1
842,6
853,1
854,2
855,1
856,1
860,1
863,2
864,2
870,2
873,1
874,1
882,1
884,2
885,2
893,1
894,4
895,3
896,2
900,2
903,2
912,2
913,1
919,1
920,1
930,1
939,1
940,1
943,1
955,2
957,1
959,1
974,9
977,1
978,2
992,4
1000,5
1001,1
1003,1
1022,4
1023,1
1027,1
1028,2
1030,1
1032,4
1044,5
1048,1
1052,1
1053,2
1059,1
1062,8
1071,3
1072,8
1078,2
1080,4
1098,1
1100,1
1101,1
1107,1
1111,2
1117,1
1127,2
1133,1
1139,1
1152,1
1153,1
1158,3
1166,2
1171,3
1175,25
1176,2
1177,2
1180,1
1190,7
1191,1
1192,11
1193,1
1195,3
1202,1
1205,1
1207,1
1208,1
1210,2
1216,1
1217,2
1223,1
1229,1
1234,2
1238,4
1239,4
1240,2
1241,6
1244,1
1254,1
1258,2
1259,1
1262,1
1268,3
1270,2
1275,1
1285,1
1286,1
1290,1
1293,5
1297,1
1301,4
1306,1
1325,1
1327,2
1328,5
1332,3
1337,1
1351,4
1355,3
1357,2
1358,1
1369,2
1373,1
1377,2
1379,15
1385,2
1387,1
1390,1
1394,1
1396,1
1397,1
1404,2
1418,4
1424,1
1431,1
1435,2
1438,2
1446,1
1447,2
1452,2
1459,6
1465,1
1467,1
1475,2
1479,7
1480,1
1484,2
1486,2
1497,2
1509,1
1512,1
1513,1
1516,1
1518,2
1521,3
1528,2
1529,1
1530,1
1537,1
1547,5
1552,1
1554,1
1556,1
1562,2
1563,4
1566,3
1577,12
1579,1
1593,2
1594,3
1612,1
1614,2
1619,1
1631,3
1633,1
1639,1
1645,1
1653,4
1656,3
1657,1
1658,4
1662,10
1682,1
1686,2
1687,2
1691,2
1694,1
1698,1
1705,1
1712,2
1721,1
1724,1
1728,1
1731,2
1732,1
1734,1
1735,2
1753,1
1754,2
1758,2
1759,4
1771,2
1772,1
1773,1
1775,5
1786,3
1789,1
1801,1
1804,3
1808,1
1809,1
1810,2
1813,1
1816,2
1819,4
1822,1
1827,3
1833,2
1844,2
1850,2
1852,4
1856,2
1857,1
1859,1
1860,1
1862,2
1864,4
1866,2
1869,1
1873,1
1877,3
1889,1
1891,1
1892,4
1905,1
1908,1
1915,1
1923,1
1926,2
1930,2
1933,3
1934,2
1938,1
1940,1
1941,4
1950,1
1953,1
1954,1
1962,1
1964,20
1968,8
1970,1
1979,3
1980,6
1981,1
1982,3
1985,2
1988,2
2003,7
2004,3
2009,1
2012,2
2015,8
2020,1
2021,1
2023,1
2024,1
2025,1
2027,1
2035,1
2038,1
2039,3
2043,1
2048,2
2053,1
2056,2
2062,1
2064,1
2065,7
2066,1
2067,2
2070,2
2073,1
2077,5
2079,1
2089,2
2093,2
2095,1
2096,12
2100,1
2105,2
2117,6
2119,3
2122,2
2125,1
2129,1
2132,2
2134,1
2135,3
2142,1
2144,1
2158,6
2161,5
2163,1
2176,2
2177,1
2179,1
2188,1
2190,1
2191,2
2196,2
2199,6
2201,2
2207,3
2213,2
2214,1
2222,8
2228,6
2236,1
2248,2
2251,7
2254,1
2264,1
2266,1
2270,4
2271,1
2279,2
2280,1
2282,1
2289,3
2302,3
2303,3
2308,1
2309,2
2311,4
2312,2
2315,1
2319,2
2320,1
2331,1
2332,1
2336,1
2337,3
2339,1
2343,1
2349,1
2352,2
2354,5
2355,1
2359,1
2364,4
2375,3
2383,5
2384,4
2392,1
2405,1
2415,1
2417,3
2419,2
2428,15
2438,1
2442,1
2445,6
2446,1
2459,1
2461,3
2465,2
2471,4
2475,5
2481,1
2484,1
2485,3
2486,1
2488,1
2491,2
2492,1
2501,1
2502,1
2507,2
2521,1
2532,1
2533,1
2539,3
2547,14
2552,1
2553,1
2556,1
2561,1
2563,1
2580,1
2582,12
2583,2
2584,1
2585,1
2586,4
2590,1
2591,10
2592,1
2593,2
2604,1
2606,1
2615,7
2620,1
2624,14
2626,3
2627,1
2628,3
2631,5
2632,8
2633,4
2651,6
2653,1
2660,1
2662,2
2663,1
2675,2
2686,4
2690,4
2695,8
2698,4
2702,3
2707,1
2711,1
2712,12
2719,3
2724,2
2730,1
2742,5
2745,1
2746,2
2747,2
2749,4
2750,1
2755,20
2757,1
2762,6
2764,2
2769,1
2771,1
2774,1
2797,1
2801,5
2802,1
2806,1
2807,1
2811,1
2819,1
2822,1
2830,2
2831,1
2834,1
2836,1
2838,1
2839,1
2844,7
2846,1
2849,2
2853,1
2855,2
2857,1
2860,2
2863,2
2868,1
2869,1
2876,1
2878,3
2894,5
2898,2
2901,2
2902,3
2911,1
2922,1
2930,1
2932,3
2933,1
2937,1
2939,1
2942,1
2948,1
2953,2
2957,2
2958,7
2960,1
2965,3
2971,1
2973,7
2983,1
2985,1
2988,2
2990,2
2995,2
2998,4
3000,1
3001,3
3004,2
3006,1
3015,1
3032,12
3037,1
3042,1
3054,1
3057,3
3059,1
3060,3
3067,2
3076,1
3077,2
3078,1
3079,1
3080,1
3086,1
3087,1
3091,1
3094,5
3111,1
3118,1
3131,3
3132,1
3133,1
3134,1
3137,8
3140,2
3145,1
3150,1
3153,1
3158,5
3169,2
3171,1
3180,4
3182,1
3184,2
3203,7
3208,10
3212,1
3217,4
3218,2
3220,1
3234,1
3236,7
3237,1
3238,1
3244,3
3247,7
3249,6
3251,1
3254,3
3258,1
3265,1
3266,1
3267,2
3271,1
3272,4
3274,3
