,uid,month,loan_sum,total_loan_amount
0,34939,2016-11,6.316422770499999,11.55882983
1,80338,2016-11,6.2126305766,11.55880912
2,5018,2016-11,6.1534138563,6.153413856
3,58005,2016-11,6.7931323987,6.793132399
4,52453,2016-11,4.2926506987,4.292650699
5,45117,2016-11,6.7705363218,6.770536322000001
6,41592,2016-11,5.5011803851,10.01517075
7,8679,2016-11,6.1534138563,11.44553673
8,21745,2016-11,5.405415973999999,5.405415973999999
9,45828,2016-11,4.227255494,4.227255494
10,17226,2016-11,5.2921539288,10.01517075
11,90569,2016-11,6.7227186589,6.722718659
12,16838,2016-11,5.405415973999999,14.16905047
13,27792,2016-11,5.1535381047,13.12998476
14,25820,2016-11,5.2921539288,9.697859767999999
15,583,2016-11,6.4053331376,22.02984458
16,51593,2016-11,4.7230168221,4.723016822
17,16281,2016-11,5.2921539288,5.2921539289999995
18,6647,2016-11,6.4053331376,22.02984458
19,67759,2016-11,5.2921539288,5.2921539289999995
20,68677,2016-11,4.2926506987,4.292650699
21,40036,2016-11,5.3843553259000005,9.446312902999999
22,34146,2016-11,4.0713020592,4.071302059
23,9050,2016-11,5.1535381047,5.153538105
24,78717,2016-11,6.2126305766,6.2126305770000005
25,1112,2016-11,6.2920545271,6.292054527
26,20801,2016-11,6.0879531389,6.087953139
27,65281,2016-11,7.0450583367999995,13.22877835
28,7967,2016-11,6.9746441531,34.58856052
29,50348,2016-11,7.014743673200001,24.61365542
30,2302,2016-11,4.7822081374000005,4.782208137
31,53629,2016-11,5.7227683627,5.722768362999999
32,35477,2016-11,5.3513621783,9.154748474
33,22711,2016-11,6.6376188123,31.43529899
34,40600,2016-11,5.1535381047,5.153538105
35,68050,2016-11,6.684274102100001,17.60670249
36,11072,2016-11,5.1535381047,17.1706028
37,81074,2016-11,5.8857701085,5.885770109
38,53478,2016-11,4.5443733959,4.544373396
39,84057,2016-11,5.8360407605999995,5.8360407610000005
40,58049,2016-11,4.2926506987,4.292650699
41,51635,2016-11,6.05244065,6.05244065
42,41325,2016-11,6.384269633400001,6.384269633
43,70230,2016-11,5.8857701085,10.87629094
44,52810,2016-11,5.931812566900001,10.87630647
45,45486,2016-11,5.584137010499999,14.30782145
46,40645,2016-11,5.9788055019,24.70017509
47,43024,2016-11,7.0524114117,30.11759133
48,40068,2016-11,4.7230168221,8.585301398
49,86572,2016-11,5.781982259099999,14.30806976
50,23304,2016-11,5.6573110966,14.24490291
51,9745,2016-11,6.1534138563,6.153413856
52,63713,2016-11,6.483098934299999,27.18338269
53,13974,2016-11,5.7411324696,10.62050533
54,71066,2016-11,5.781982259099999,5.781982258999999
55,3691,2016-11,6.946686099,18.41226098
56,13676,2016-11,6.1376838143,15.24439718
57,44761,2016-11,6.1534138563,29.92247702
58,32319,2016-11,5.861402821,23.3239541
59,78792,2016-11,6.535635911799999,12.06263963
60,73760,2016-11,4.9748429458,9.949685892
61,78257,2016-11,6.8359993403,6.83599934
62,76849,2016-11,5.861402821,15.24190192
63,45671,2016-11,5.405415973999999,5.405415973999999
64,9589,2016-11,6.2870640587,20.88772976
65,52283,2016-11,5.5011803851,25.31389339
66,27730,2016-11,5.1535381047,9.267493645
67,83161,2016-11,5.45514134,22.14534232
68,43150,2016-11,5.781982259099999,10.01541906
69,48263,2016-11,4.7230168221,12.01783979
70,82757,2016-11,6.4257059319000005,6.4257059320000005
71,10393,2016-11,4.2926506987,4.292650699
72,80359,2016-11,3.862594545,3.862594545
73,71443,2016-11,5.6573110966,10.44569203
74,21158,2016-11,6.7227186589,12.55874699
75,23684,2016-11,6.6709118329,12.48049756
76,75131,2016-11,6.2182533011,20.27461039
77,2452,2016-11,5.5011803851,10.01517075
78,2308,2016-11,5.931812566900001,5.931812567000001
79,51736,2016-11,3.862594545,3.862594545
80,3987,2016-11,4.9748429458,4.974842946
81,18868,2016-11,5.974677289700001,5.97467729
82,45291,2016-11,6.584074881599999,12.30682771
83,46772,2016-11,6.1215451756,16.31201233
84,39930,2016-11,5.8360407605999995,5.8360407610000005
85,22042,2016-11,6.0069595934,6.0069595929999995
86,63985,2016-11,5.781982259099999,10.01541906
87,75048,2016-11,6.462665164700001,49.40345586
88,61396,2016-11,4.6575871534,8.446809672999999
89,64066,2016-11,6.0879531389,6.087953139
90,58492,2016-11,6.7227186589,6.722718659
91,64139,2016-11,4.9748429458,4.974842946
92,5010,2016-11,6.1534138563,6.153413856
93,27720,2016-11,6.6143891753999995,23.00950124
94,64735,2016-11,6.483098934299999,12.08522642
95,40119,2016-11,5.2921539288,5.2921539289999995
96,4753,2016-11,5.2921539288,5.2921539289999995
97,16635,2016-11,4.2926506987,4.292650699
98,45868,2016-11,6.1534138563,6.153413856
99,41015,2016-11,3.862594545,3.862594545
100,46672,2016-11,6.05244065,6.05244065
101,55956,2016-11,6.1534138563,6.153413856
102,28426,2016-11,6.657255870499999,12.44546838
103,46117,2016-11,6.2870640587,37.53977505
104,86897,2016-11,7.1408364827,13.42033253
105,31235,2016-11,6.382123470700001,44.14947783
106,50161,2016-11,5.7227683627,5.722768362999999
107,82685,2016-11,6.4053331376,22.14804447
108,8265,2016-11,5.8360407605999995,5.8360407610000005
109,10859,2016-11,5.6218006378,10.04555378
110,19307,2016-11,6.9317770636,6.931777063999999
111,13102,2016-11,5.2921539288,17.60096892
112,62781,2016-11,6.684274102100001,23.10013097
113,87854,2016-11,5.7227683627,5.722768362999999
114,38602,2016-11,5.2921539288,5.2921539289999995
115,63024,2016-11,6.05244065,21.06033119
116,78674,2016-11,3.862594545,3.862594545
117,9967,2016-11,5.7227683627,5.722768362999999
118,45548,2016-11,5.7227683627,5.722768362999999
119,62308,2016-11,5.405415973999999,5.405415973999999
120,74248,2016-11,5.2921539288,9.697859767999999
121,50815,2016-11,4.8616016004,12.44789594
122,13891,2016-11,6.483098934299999,26.61433873
123,15366,2016-11,6.7819370735,6.781937074
124,18260,2016-11,4.2926506987,4.292650699
125,786,2016-11,6.7819370735,58.21369322
126,55741,2016-11,4.7230168221,8.585301398
127,21667,2016-11,4.2926506987,4.292650699
128,31116,2016-11,4.2926506987,4.292650699
129,30239,2016-11,5.781982259099999,5.781982258999999
130,90989,2016-11,5.931812566900001,5.931812567000001
131,15719,2016-11,5.8999445869,32.11014731
132,64469,2016-11,4.2926506987,7.72518909
133,23479,2016-11,5.4646261056,13.82565822
134,79739,2016-11,6.2920545271,16.73769066
135,48678,2016-11,6.4053331376,6.405333138
136,50728,2016-11,6.05244065,11.24144811
137,4015,2016-11,4.7230168221,4.723016822
138,77660,2016-11,6.316422770499999,11.55882983
139,60277,2016-11,6.9828737662,35.10707287
140,87857,2016-11,5.7227683627,5.722768362999999
141,61923,2016-11,5.8095992363999995,13.47826953
142,28987,2016-11,5.7227683627,5.722768362999999
143,72132,2016-11,5.2921539288,5.2921539289999995
144,84245,2016-11,5.974677289700001,11.01492229
145,63076,2016-11,5.2921539288,5.2921539289999995
146,3131,2016-11,4.7230168221,4.723016822
147,43332,2016-11,6.1534138563,6.153413856
148,3939,2016-11,6.8563724687,34.44988258
149,13585,2016-11,5.974677289700001,10.93552036
150,59617,2016-11,4.9748429458,4.974842946
151,76580,2016-11,6.2920545271,16.55898515
152,17851,2016-11,5.1535381047,5.153538105
153,80801,2016-11,5.2921539288,5.2921539289999995
154,73939,2016-11,4.7230168221,4.723016822
155,9473,2016-11,5.5011803851,5.501180385
156,72684,2016-11,6.8952179433000005,12.929101600000001
157,27767,2016-11,4.584447561499999,4.584447562
158,37070,2016-11,6.2126305766,25.58912473
159,18201,2016-11,5.931812566900001,5.931812567000001
160,393,2016-11,5.2267035642,9.363243269
161,22488,2016-11,6.4053331376,17.16830509
162,38697,2016-11,5.405415973999999,14.16905047
163,62655,2016-11,7.5778178617,20.68565383
164,81388,2016-11,5.6144483459000005,5.6144483460000005
165,70296,2016-11,5.931812566900001,5.931812567000001
