uid,total
4,2
23,5
26,1
39,2
43,2
54,1
64,6
68,1
69,1
71,1
72,6
73,1
80,1
81,1
83,1
85,3
87,2
89,4
92,3
100,1
103,2
104,1
109,1
115,1
116,3
117,2
118,1
121,4
127,2
134,1
138,4
139,11
142,3
147,1
153,1
157,3
159,1
163,3
164,1
170,1
179,2
182,24
186,2
188,3
195,2
201,3
202,5
208,1
211,1
215,6
229,2
235,1
237,1
239,3
243,1
253,2
258,3
259,4
261,1
274,1
276,1
280,1
287,2
294,1
295,2
298,3
308,1
313,4
315,6
316,1
320,1
321,2
327,1
339,9
354,3
360,1
361,4
364,2
375,1
384,1
385,5
391,1
393,3
394,1
400,1
404,8
406,10
419,3
421,2
429,1
431,3
436,5
438,2
439,26
449,4
452,1
460,5
470,1
471,1
473,2
476,1
478,1
485,1
488,1
489,4
496,1
503,2
504,7
505,2
506,3
510,1
516,2
517,1
528,1
530,2
531,1
539,3
547,2
551,1
555,3
558,1
560,2
562,3
568,3
576,2
581,3
582,2
583,9
586,1
587,4
591,1
594,4
596,2
599,1
606,2
611,2
613,15
615,1
616,2
618,4
619,2
622,3
625,5
627,1
630,2
646,1
649,1
651,10
660,3
661,2
662,1
666,2
668,1
671,2
681,2
682,1
685,1
688,1
691,3
692,2
693,4
696,2
697,1
704,1
706,1
711,2
717,1
729,1
739,1
740,2
741,2
744,1
745,7
746,1
751,1
754,2
758,3
759,1
769,1
772,1
781,2
786,7
796,1
804,6
813,1
814,8
818,4
819,1
825,3
828,1
832,3
834,1
839,1
840,1
842,3
853,1
854,1
856,1
863,2
873,2
875,2
876,1
882,1
884,1
893,1
894,6
896,1
900,3
912,3
913,1
916,3
918,1
920,2
921,1
927,1
930,1
939,1
951,1
955,2
957,1
958,1
964,5
974,5
977,2
978,2
994,3
1004,1
1011,1
1020,1
1022,1
1027,2
1028,1
1030,1
1032,2
1040,1
1045,1
1053,3
1056,1
1059,1
1060,1
1061,1
1062,2
1071,3
1075,7
1078,1
1080,1
1098,1
1101,1
1102,3
1107,1
1112,3
1116,3
1131,1
1133,1
1148,2
1152,2
1153,1
1158,2
1166,2
1171,1
1175,5
1176,2
1177,2
1180,1
1186,2
1188,1
1192,6
1193,1
1195,8
1202,1
1205,2
1216,6
1217,4
1220,1
1229,1
1230,2
1233,2
1234,3
1238,2
1239,2
1241,1
1244,1
1248,1
1251,1
1258,3
1268,2
1270,3
1275,1
1279,1
1285,1
1286,2
1293,1
1306,1
1313,1
1317,1
1327,2
1328,4
1333,1
1343,1
1351,2
1355,2
1357,4
1362,1
1369,1
1373,1
1377,3
1379,7
1381,1
1385,2
1387,2
1390,2
1394,1
1396,1
1397,2
1400,5
1402,1
1404,1
1421,1
1430,1
1435,14
1446,1
1447,1
1452,2
1459,4
1468,1
1475,2
1478,1
1479,6
1482,1
1484,2
1497,1
1500,2
1508,1
1509,2
1510,1
1518,2
1519,1
1521,2
1524,1
1529,2
1532,1
1539,1
1547,11
1562,2
1563,4
1566,1
1577,3
1579,1
1580,1
1593,2
1594,2
1595,1
1598,3
1610,1
1612,1
1614,8
1621,2
1624,4
1629,1
1631,2
1633,1
1637,1
1638,1
1645,2
1653,1
1656,3
1658,1
1661,1
1662,11
1667,1
1676,10
1686,1
1689,1
1691,3
1694,1
1695,7
1710,1
1712,1
1721,1
1724,2
1725,1
1728,1
1731,1
1735,2
1742,1
1754,1
1758,2
1759,1
1775,3
1783,1
1784,1
1786,4
1789,1
1797,1
1804,4
1805,1
1807,2
1808,2
1809,1
1810,1
1816,1
1819,6
1827,2
1829,1
1833,3
1842,1
1844,3
1848,1
1850,6
1852,3
1855,1
1856,2
1862,1
1863,2
1864,2
1866,1
1869,1
1871,1
1873,2
1876,1
1877,4
1891,4
1892,5
1899,1
1901,3
1906,1
1908,1
1909,2
1913,1
1914,1
1919,1
1925,2
1926,2
1928,1
1930,3
1938,1
1940,1
1941,6
1945,1
1946,3
1949,1
1953,1
1954,1
1956,1
1962,1
1964,1
1965,1
1968,6
1970,1
1971,2
1975,1
1976,1
1979,3
1980,6
1985,4
1988,2
1999,1
2004,3
2005,1
2009,2
2015,18
2017,1
2021,2
2025,1
2027,2
2033,1
2035,4
2036,3
2039,4
2040,1
2048,3
2049,1
2056,2
2062,1
2065,4
2066,1
2067,1
2070,2
2073,2
2075,1
2077,3
2079,4
2081,1
2082,1
2089,1
2093,1
2096,15
2099,1
2106,1
2107,1
2117,4
2118,1
2120,1
2122,2
2125,1
2132,2
2135,3
2141,1
2142,1
2146,2
2148,1
2157,1
2158,8
2161,5
2163,7
2179,1
2180,4
2191,4
2199,6
2201,1
2207,1
2209,1
2221,2
2222,16
2228,5
2232,1
2236,1
2246,1
2248,6
2251,5
2262,2
2270,5
2273,1
2277,2
2278,2
2279,4
2280,1
2289,7
2292,2
2296,4
2297,6
2302,3
2303,1
2308,1
2309,3
2311,3
2312,1
2314,2
2316,1
2324,3
2331,1
2334,1
2337,1
2339,1
2343,1
2352,2
2354,2
2355,2
2363,1
2364,5
2368,1
2369,2
2375,2
2383,1
2384,3
2392,2
2405,2
2408,1
2415,1
2417,3
2418,2
2425,1
2428,11
2439,1
2445,5
2446,1
2452,2
2453,1
2456,3
2459,1
2461,2
2465,2
2471,2
2472,1
2475,11
2477,1
2481,1
2484,5
2485,1
2486,3
2488,2
2491,3
2492,1
2499,1
2507,2
2518,2
2519,1
2520,2
2522,1
2527,1
2532,1
2533,2
2539,1
2543,1
2547,16
2553,2
2555,2
2580,3
2582,6
2583,2
2584,1
2585,3
2586,2
2587,1
2590,2
2591,17
2593,1
2604,2
2606,1
2607,1
2615,6
2620,1
2624,14
2626,1
2627,1
2628,1
2631,1
2632,2
2643,1
2644,2
2646,1
2651,2
2660,2
2662,3
2663,2
2669,2
2671,1
2673,1
2675,1
2678,3
2686,4
2690,7
2696,1
2702,2
2705,1
2706,3
2710,1
2712,9
2716,1
2719,1
2724,2
2726,3
2729,1
2742,2
2743,2
2745,1
2746,2
2748,1
2749,4
2754,6
2755,1
2762,4
2764,3
2769,1
2774,3
2778,1
2796,1
2797,1
2798,1
2801,3
2806,3
2811,3
2813,1
2819,1
2820,3
2824,1
2830,2
2831,1
2834,1
2844,5
2855,6
2857,1
2860,7
2862,1
2863,2
2865,2
2874,3
2876,1
2878,2
2892,1
2894,3
2896,1
2898,6
2902,2
2911,3
2922,1
2930,1
2932,2
2937,1
2939,1
2942,4
2953,4
2955,2
2957,2
2958,7
2965,1
2971,1
2973,11
2983,2
2995,4
2998,1
3001,1
3002,1
3004,5
3015,1
3032,15
3035,6
3037,1
3057,3
3065,2
3068,2
3069,1
3076,1
3077,11
3091,1
3094,5
3104,3
3107,4
3111,1
3113,1
3130,3
3131,1
3132,1
3135,1
3137,6
3138,1
3140,6
3145,3
3157,1
3169,1
3174,1
3179,1
3180,5
3182,1
3189,1
3197,2
3203,9
3208,1
3209,1
3210,1
3216,1
3217,4
3218,1
3223,1
3227,1
3229,1
3231,1
3234,1
3236,8
3237,2
3247,1
3249,8
3254,6
3256,3
3258,3
3264,2
3265,1
3267,11
3271,1
3272,5
3274,2
3280,1
3284,2
3287,1
3294,2
3301,3
3305,1
3307,2
3308,1
3309,1
3311,1
3324,2
3326,1
3327,1
3339,3
3347,2
3350,1
3352,1
3356,1
3370,1
3377,1
3380,3
3390,1
3392,1
3401,7
3406,4
3407,6
3408,1
3410,2
3412,2
3414,1
3415,1
3419,6
3430,1
3431,1
3444,1
3451,1
3453,13
3454,1
3459,1
3465,1
3469,1
3470,2
3471,1
3476,1
3477,1
3478,2
3482,1
3488,9
3489,1
3492,9
3496,4
3497,1
3503,1
3505,1
3508,2
3520,2
3527,5
3537,2
3541,1
3543,5
3549,1
3551,2
3552,1
3554,2
3556,2
3557,1
3567,2
3572,32
3574,1
3580,8
3585,4
3586,1
3587,1
3588,1
3590,2
3591,3
3594,3
3604,2
3609,2
3611,1
3612,1
3615,1
3617,1
3627,1
3631,8
3636,3
3641,2
3643,6
3649,2
3653,1
3656,1
3664,1
3668,6
3671,1
3683,3
3689,8
3691,7
3695,1
3700,2
3702,1
3704,2
3705,2
3708,2
3712,1
3714,1
3718,2
3719,1
3721,3
3722,1
3724,1
3725,1
3728,3
3730,1
3736,2
3738,1
3754,1
3758,2
3760,3
3763,4
3769,4
3774,1
3775,1
3777,1
3778,1
3783,4
3791,1
3792,1
3794,1
3803,6
3808,1
3811,6
3812,1
3813,8
3817,1
3819,1
3820,8
3828,4
3837,7
3840,1
3844,1
3853,1
3854,3
3855,6
3859,3
3861,5
3864,1
3865,4
3870,3
3872,1
3874,1
3875,1
3877,2
3882,1
3893,3
3895,1
3897,2
3899,1
3900,1
3902,1
3906,4
3908,4
3909,3
3915,1
3919,2
3920,6
3924,1
3926,6
3929,1
3939,6
3942,4
3945,2
3947,2
3952,4
3953,1
3954,1
3961,1
3963,1
3967,10
3969,3
3972,1
3974,3
3978,2
3981,1
3983,1
3986,1
3987,2
3988,2
3989,1
3991,1
4002,2
4011,1
4014,1
4015,1
4025,2
4035,2
4045,1
4047,1
4048,2
4059,1
4064,1
4076,5
4077,1
4082,1
4085,4
4091,2
4093,1
4099,2
4102,3
4114,4
4115,1
4121,1
4123,4
4129,9
4130,4
4131,1
4134,1
4138,1
4140,5
4142,2
4145,2
4148,2
4167,1
4168,2
4169,1
4170,1
4178,2
4179,4
4181,3
4189,4
4193,1
4194,5
4195,1
4204,3
4207,1
4219,2
4233,2
4246,1
4249,5
4255,2
4267,1
4271,8
4272,1
4275,2
4276,1
4284,1
4288,5
4290,1
4294,4
4301,1
4304,1
4309,4
4326,1
4332,1
4341,2
4347,2
4352,1
4353,1
4357,1
4361,2
4363,1
4373,2
4374,1
4380,5
4399,1
4406,3
4408,5
4410,2
4413,8
4414,2
4417,1
4419,1
4423,3
4427,1
4429,1
4432,2
4437,2
4439,1
4442,1
4447,5
4456,2
4458,1
4459,4
4467,2
4473,5
4485,2
4491,2
4496,1
4498,2
4499,1
4502,2
4507,1
4510,1
4516,1
4521,3
4524,7
4530,1
4531,1
4535,1
4542,1
4546,9
4548,1
4551,2
4552,8
4554,2
4556,1
4557,2
4558,1
4559,2
4575,3
4580,3
4583,1
4587,1
4593,1
4594,1
4595,2
4596,3
4598,1
4601,4
4603,1
4605,2
4606,1
4611,2
4617,1
4618,2
4621,1
4622,1
4624,1
4625,2
4632,1
4637,2
4641,2
4647,2
4648,1
4653,1
4656,3
4658,1
4663,2
4667,7
4668,1
4669,1
4670,2
4674,1
4677,19
4681,2
4683,1
4684,1
4686,1
4688,1
4698,4
4702,1
4712,5
4725,2
4727,1
4730,3
4737,5
4739,1
4744,3
4748,1
4749,1
4756,1
4758,2
4760,1
4772,1
4777,1
4778,1
4783,1
4788,1
4790,2
4797,12
4798,1
4809,2
4823,1
4826,2
4838,1
4843,1
4862,2
4870,7
4872,1
4876,1
4880,1
4881,1
4887,1
4888,1
4892,8
4895,1
4902,2
4905,1
4908,2
4909,2
4910,12
4916,2
4924,1
4928,2
4929,1
4938,1
4947,2
4955,3
4956,1
4957,3
4964,7
4970,5
4973,3
4978,2
4981,2
4985,2
4991,2
4993,2
4996,9
4999,1
5001,2
5004,4
5005,2
5006,2
5010,2
5013,6
5018,1
5019,1
5020,2
5024,1
5033,2
5034,1
5039,2
5045,1
5051,1
5056,1
5058,4
5063,1
5065,1
5083,9
5086,3
5088,3
5096,2
5101,1
5102,3
5108,1
5113,2
5120,1
5121,1
5122,2
5124,2
5130,3
5140,8
5145,1
5148,1
5161,3
5165,1
5166,1
5167,2
5172,1
5179,4
5184,1
5186,1
5192,11
5194,1
5205,7
5207,1
5214,1
5224,1
5225,2
5230,1
5231,1
5232,1
5239,1
5241,3
5242,5
5243,1
5246,1
5251,1
5261,3
5268,1
5279,5
5280,6
5281,1
5282,4
5283,1
5289,2
5290,6
5293,1
5304,1
5305,3
5307,2
5311,2
5312,1
5313,1
5314,1
5319,1
5323,1
5327,3
5335,3
5336,2
5339,6
5344,2
5354,1
5356,3
5357,1
5359,3
5361,13
5373,1
5382,2
5385,1
5387,5
5391,1
5395,1
5396,2
5399,2
5401,3
5403,1
5404,4
5412,1
5416,1
5417,7
5421,1
5425,1
5430,1
5432,1
5437,4
5439,1
5441,1
5443,6
5445,1
5446,3
5447,1
5452,1
5453,4
5457,1
5461,1
5466,3
5468,3
5475,8
5476,1
5479,1
5484,18
5489,1
5495,7
5505,1
5510,2
5518,1
5520,1
5527,2
5529,1
5536,1
5543,1
5549,5
5553,8
5555,1
5565,1
5569,3
5575,1
5585,1
5593,3
5597,1
5602,1
5604,1
5612,1
5614,2
5616,7
5618,7
5627,1
5630,1
5632,1
5636,2
5639,2
5641,2
5652,3
5658,3
5661,3
5662,1
5671,1
5681,2
5684,2
5686,1
5692,4
5694,2
5707,3
5711,1
5713,3
5717,1
5718,1
5719,1
5725,9
5734,2
5737,1
5741,1
5747,1
5749,1
5753,4
5759,1
5761,25
5762,1
5770,1
5774,3
5783,1
5788,1
5793,1
5809,1
5813,6
5815,5
5820,1
5823,1
5826,1
5831,2
5840,3
5845,1
5856,2
5861,2
5862,2
5866,2
5871,7
5877,1
5878,7
5890,1
5891,2
5903,2
5905,1
5910,3
5915,1
5918,1
5920,1
5927,4
5936,1
5941,1
5953,1
5956,1
5958,11
5961,1
5966,1
5968,1
5969,1
5970,5
5988,8
5993,1
5995,1
5996,1
6002,2
6022,1
6028,1
6033,2
6035,2
6040,5
6043,2
6048,3
6056,1
6066,1
6068,12
6073,1
6074,1
6089,1
6100,1
6101,2
6103,4
6104,1
6105,2
6119,1
6121,2
6122,2
6123,4
6125,3
6126,21
6132,3
6133,1
6140,8
6141,1
6143,1
6145,1
6161,4
6164,2
6168,6
6169,4
6171,1
6172,1
6173,1
6179,6
6180,5
6191,4
6193,1
6194,3
6203,7
6207,1
6209,1
6210,4
6211,2
6213,4
6215,2
6222,1
6225,4
6229,1
6231,4
6232,1
6236,5
6237,4
6249,2
6250,1
6258,1
6272,2
6278,1
6280,2
6284,1
6287,1
6288,1
6294,3
6298,1
6302,1
6320,2
6324,1
6332,7
6345,1
6353,3
6354,1
6361,1
6365,5
6367,1
6373,3
6377,4
6379,3
6380,1
6383,9
6385,1
6387,1
6411,2
6415,1
6417,2
6422,2
6428,1
6430,1
6431,9
6435,5
6437,2
6439,1
6441,1
6445,1
6447,2
6448,1
6453,1
6455,4
6456,1
6458,1
6462,4
6464,1
6465,1
6467,5
6468,2
6472,3
6479,1
6480,1
6482,1
6486,1
6489,1
6496,7
6497,1
6505,3
6509,1
6520,3
6530,1
6532,3
6533,6
6537,15
6539,3
6541,4
6553,2
6555,4
6556,1
6559,8
6563,3
6577,1
6579,1
6582,1
6592,1
6598,1
6601,2
6605,7
6610,1
6617,1
6623,5
6629,1
6634,1
6645,5
6647,22
6651,16
6653,1
6655,1
6657,9
6658,1
6661,1
6672,1
6673,1
6686,1
6703,3
6722,1
6741,5
6744,1
6749,3
6753,1
6759,5
6768,1
6770,4
6775,5
6777,1
6782,1
6783,1
6784,1
6785,3
6788,1
6789,3
6790,1
6796,1
6801,2
6804,3
6806,1
6810,1
6812,1
6817,1
6819,3
6822,1
6829,1
6830,3
6833,1
6840,4
6843,1
6851,1
6855,2
6861,2
6869,2
6879,3
6888,7
6889,1
6890,1
6900,1
6901,1
6905,3
6907,1
6912,3
6913,2
6926,1
6929,4
6931,2
6938,1
6944,1
6945,5
6951,1
6956,1
6962,2
6968,1
6971,2
6974,7
6978,4
6986,1
6990,2
6998,1
7007,2
7008,1
7010,2
7012,4
7015,1
7018,1
7024,1
7028,1
7036,2
7040,2
7042,1
7047,2
7059,1
7061,1
7064,1
7066,1
7069,2
7076,1
7094,11
7104,1
7105,2
7110,1
7111,8
7124,4
7129,1
7132,3
7137,3
7140,2
7141,1
7142,3
7145,1
7150,1
7153,1
7161,1
7163,1
7173,2
7187,1
7189,2
7195,1
7198,3
7201,3
7202,1
7204,2
7228,1
7234,2
7236,1
7239,1
7240,11
7243,1
7245,1
7247,6
7254,5
7258,2
7270,2
7271,1
7275,10
7288,2
7290,1
7291,2
7295,4
7296,1
7300,3
7301,1
7309,4
7310,2
7315,1
7316,6
7317,2
7318,1
7321,3
7322,1
7326,1
7332,3
7338,1
7339,4
7345,1
7349,1
7365,3
7368,2
7369,5
7371,2
7378,1
7389,3
7398,1
7400,1
7403,2
7408,1
7410,2
7411,3
7413,9
7415,4
7419,4
7421,1
7424,1
7431,3
7433,1
7439,1
7447,2
7458,2
7469,1
7475,1
7477,1
7481,4
7482,4
7485,1
7495,1
7502,9
7505,6
7506,3
7508,2
7509,2
7511,4
7512,1
7515,3
7522,1
7524,1
7529,3
7531,4
7532,5
7535,3
7536,1
7543,1
7547,3
7555,4
7557,1
7569,2
7572,2
7573,26
7574,1
7585,4
7589,2
7596,2
7598,5
7599,3
7605,1
7606,1
7608,2
7610,1
7616,1
7625,1
7628,1
7639,1
7640,1
7645,2
7648,1
7650,3
7657,1
7658,4
7660,3
7662,1
7664,1
7667,2
7668,1
7669,2
7673,6
7674,1
7678,1
7679,1
7696,1
7715,5
7716,1
7717,1
7720,1
7723,9
7724,1
7732,1
7734,3
7736,1
7740,1
7741,1
7744,1
7753,1
7754,1
7758,1
7765,1
7766,1
7767,2
7780,1
7784,13
7786,2
7798,1
7800,1
7804,1
7807,1
7834,1
7836,1
7837,6
7842,2
7845,2
7846,7
7849,1
7855,1
7860,12
7861,1
7862,3
7872,12
7874,5
7877,1
7882,4
7885,2
7886,3
7887,1
7890,4
7895,2
7905,6
7907,1
7914,1
7915,3
7928,8
7934,1
7937,3
7939,1
7946,1
7947,1
7951,1
7956,2
7958,2
7959,2
7964,1
7965,2
7966,1
7967,4
7972,2
7980,1
7982,3
7994,1
