uid,shang10,shang9,shang8,shang11
4.0,5.494789433,5.14688409067,5.222846017,4.723016822
23.0,4.1709727768,3.862594545,3.862594545,3.862594545
26.0,5.716524366,5.716524366,5.716524366,5.716524366
39.0,4.633912247,4.80093690367,4.292650699,4.18597551057
43.0,4.974980898,5.07059257,5.722768363,5.292153929
54.0,5.153538105,5.03595002825,5.09474406663,5.09474406663
64.0,4.22097467333,4.26886201344,4.723016822,3.862594545
68.0,4.455523524,4.51400504325,4.26138706429,5.2794899785
69.0,3.862594545,4.694922553,5.527250561,4.694922553
71.0,4.723016822,3.862594545,4.292650699,4.292650699
72.0,4.45166243783,4.44510578417,4.44510578417,4.4385491305
73.0,4.292650699,4.60392120467,4.40130015022,4.307328547
80.0,4.657587153,5.722768363,5.224169815,5.292153929
81.0,5.657311097,3.862594545,4.227255494,5.657311097
83.0,4.8616016,4.5771261495,4.292650699,4.5771261495
85.0,5.010108605,4.82712600075,5.54404215,5.12709225192
87.0,4.8616016,4.68804701833,5.153538105,4.768061402
89.0,4.27630189775,4.292650699,4.46512270417,4.49042088067
92.0,4.00594659633,4.46059443267,4.3235502962,4.5078337605
100.0,6.014774739,5.792104228,6.03297783133,6.292054527
103.0,5.396667157,5.396667157,5.396667157,5.396667157
104.0,3.862594545,3.862594545,4.292909065,5.153538105
109.0,5.501180385,4.292650699,5.09833715633,5.501180385
115.0,6.316422771,6.316422771,6.316422771,6.316422771
116.0,5.64890570367,5.451697149,5.584137011,5.2872342524
117.0,5.69003973,5.722768363,5.722768363,5.722768363
118.0,5.584137011,5.584137011,5.584137011,5.584137011
121.0,5.2694744555,5.1647040994,5.1455563928,5.38529685313
127.0,5.037316479,4.749825795,5.657311097,5.14815112367
134.0,5.501180385,5.501180385,5.501180385,5.501180385
138.0,5.722768363,5.722768363,5.722768363,5.722768363
139.0,4.79767805391,4.7718414605,4.93646263213,5.08630944529
142.0,5.722768363,5.718056079,5.718056079,5.722768363
147.0,4.723016822,5.226703564,4.974860193,4.974860193
