uid,SVM_rbf
4,4.623150552
5,6.484007834
6,6.167186369
17,5.55686468
19,5.785810249
20,0.099680144
23,3.76263447
26,0.09964815
27,0.099630752
28,0.099670107
39,4.08602988
43,5.191983264
45,5.478997768
47,0.099599256
54,0.100054541
56,6.622258607
57,5.62270608
60,5.191983264
61,4.87488287
64,3.762633872
68,5.179032353
69,0.099588661
70,6.053351573
71,4.192516767
72,4.338240196
73,4.207288425
77,0.100040224
79,3.762633872
80,5.191983264
81,5.55686468
83,0.100040141
85,0.100045963
87,4.667921488
89,4.390381399
92,4.408094095
100,6.192103736
103,0.100037848
104,5.05351817
109,5.400937366
112,0.100053511
115,6.216291454
116,5.186776022
117,5.62270608
118,0.100039971
121,5.28527743
126,4.843067779
127,0.099540322
133,6.367893059
134,0.099540604
138,5.62270608
139,4.986524538
142,5.62270608
144,0.099679523
147,0.099538537
150,6.305140115
153,0.099542227
157,0.099678737
158,0.099933848
159,5.831804003
163,0.100033494
164,0.099897962
170,4.318352169
172,4.874882273
177,5.831804003
179,0.099667746
181,4.623150552
182,4.563729329
183,5.05351817
186,0.099951333
188,4.623151696
191,5.516867401
193,3.762633872
195,0.099920735
201,5.760887114
202,4.81908399
203,4.623151463
208,0.09995354
211,0.09995354
215,4.335749384
216,5.681784805
229,0.100037499
235,5.305455943
236,5.62270608
237,0.099955467
239,5.47306907
241,5.191949738
243,0.099913011
253,0.099540518
255,0.099541494
258,5.900834754
259,4.623151463
261,5.62270608
266,5.62270608
274,0.099538032
276,6.053351573
280,0.099934975
283,5.05351817
287,5.191949738
290,0.099954326
294,0.09994302
295,5.340657218
298,4.08476727
305,0.099936794
307,0.099898328
308,0.099835349
313,0.099708408
315,4.103362906
316,4.623151463
320,0.099708408
321,4.192516767
325,6.053351573
327,0.099711601
329,0.099711601
334,5.738472643
339,5.328491615
343,5.62270608
348,4.62314854
354,6.484007834
358,4.874880305
360,0.099711601
361,4.533603671
364,0.099711601
365,0.09972534
367,4.192516767
368,4.76154268
375,0.09972534
384,0.09989574
385,4.285501175
387,4.62314854
389,5.876261138
391,0.09989574
393,4.581607186
394,6.192103736
397,0.09989574
400,5.785810249
404,4.828912694
406,4.335836177
408,0.09989574
419,5.395252362
420,4.489454687
421,3.875644448
425,5.62270608
429,0.09989574
431,0.099894309
436,4.671193886
438,0.099894309
439,4.805676981
440,3.762631905
441,0.099894309
443,0.099894309
444,4.444043532
449,0.099894309
451,4.62314854
452,0.099894309
458,4.0542142
460,4.662027649
463,5.191947305
470,5.831804003
471,0.099893928
473,4.160469181
476,0.099893928
477,0.099893928
478,6.083488829
483,5.62270608
485,5.62270608
488,0.099893928
489,0.099889124
490,5.62270608
496,0.099889124
501,0.099889124
503,0.099889124
504,4.592418058
505,6.053351573
506,4.748785268
509,0.099889124
510,0.099889124
516,0.099886089
517,4.790907326
521,0.099886089
528,0.099886089
530,0.099886089
531,0.09987409
539,5.324108625
540,0.09987409
543,0.09987409
547,4.192506203
551,0.09987409
555,5.553945094
558,0.099872359
560,0.099872359
561,0.099872159
562,0.099872159
565,0.099872159
568,4.739342445
569,6.681865261
573,6.053351573
575,0.099870846
576,0.099870846
578,3.762631905
581,0.099870846
582,4.62314854
583,5.407268123
586,4.874880305
587,5.251511926
590,0.099870846
591,0.099870846
594,4.176749702
596,5.05351817
598,5.951982892
599,0.099870846
604,0.099869438
606,4.192506203
611,5.191947305
613,3.80832987
614,0.099869438
615,0.099869438
616,5.62270608
618,4.748785268
619,0.099869438
620,5.191947305
622,4.874877377
623,5.407268123
625,4.554163483
627,5.086630248
630,5.191947305
641,6.484007834
642,0.099869438
643,5.358473759
646,5.05351817
647,5.87465897
649,0.099869438
651,4.170975462
654,0.099869438
659,3.971507462
660,5.288778319
661,5.699160115
662,0.099868136
666,3.762628976
668,4.192506203
671,4.874877377
673,0.099867717
676,3.762628976
681,5.679604103
682,0.099867717
683,4.623142667
685,0.099867717
688,0.099867717
691,4.515416727
692,0.099867717
693,5.053522236
696,4.922787317
697,0.099867717
700,0.099867717
704,0.099867717
706,4.338276908
711,6.622258607
717,0.099867717
721,5.62270608
723,5.616064008
729,0.099867717
738,5.831804003
739,4.408094095
740,0.099867717
741,6.192103736
744,0.099867717
745,4.192510222
746,5.62270608
751,0.099867717
754,4.0542142
755,6.192103736
758,4.783533628
759,0.099867608
760,4.863641115
764,4.622962057
765,4.623131529
769,6.305140115
770,4.874956326
772,0.099867608
774,6.192103736
781,5.05351817
782,5.62270608
786,5.19189066
793,0.099867608
796,5.191925449
798,4.749163922
804,4.192738025
806,5.915128751
813,0.099867608
814,4.778182395
815,6.053351573
818,4.187836865
819,3.971507462
825,4.623131529
828,0.099867608
830,6.139992278
832,5.171000419
834,0.10025019
836,4.874875631
837,0.099867608
839,0.100367126
840,4.192510222
842,4.220670459
850,3.762627231
853,0.099867608
854,0.099867608
855,0.099867608
856,0.099867608
857,5.191925449
860,0.099867608
863,0.099867608
864,0.099867603
870,0.099867603
873,6.622258607
874,3.762627231
875,0.099867603
876,0.099867603
882,3.869876134
884,0.099867603
885,0.099867603
893,5.62270608
894,4.998023924
895,0.099866762
896,0.099866762
898,4.623131529
900,6.091212231
903,0.099866762
912,5.019956613
913,0.099866762
916,5.05351817
918,0.099866762
919,0.099866762
920,4.806591732
921,0.099866762
927,0.099866762
930,6.112568294
939,5.400937366
940,0.09986674
943,0.09986674
950,5.400937366
951,4.934709885
955,4.335836177
957,6.52940911
958,0.09986674
959,0.09986674
960,5.62270608
964,5.123834095
974,5.185909017
977,0.09986674
978,0.09986674
981,3.875644448
992,0.09986674
994,5.191925449
995,3.762627231
997,6.305140115
1000,5.288483591
1001,0.099866311
1003,0.099866311
1004,5.62270608
1008,6.053351573
1011,5.73629281
1017,5.62270608
1020,0.099866311
1022,4.503811182
1023,6.192103736
1027,0.099866311
1028,5.295296767
1030,0.099866311
1032,4.04929761
1040,0.099866311
1044,5.681784805
1045,0.099866311
1048,4.192680509
1050,5.59085265
1052,0.099866311
1053,4.866056855
1056,0.10000755
1059,0.099866311
1060,0.099978791
1061,0.099866311
