uid,loan_sum
4,3.249031946
20,0.927367393
23,4.487761474
28,0.839894186
39,4.8676356
43,4.306321033
64,3.363220999
68,4.405445963
69,0.171680623
71,4.669509862
81,5.543166111
83,0.916209591
85,0.171772083
87,4.036652837
89,3.810551607
92,4.981421564
115,5.897644746
116,5.40154486
117,5.26511934
121,5.594495196
127,0.900601882
139,4.959823065
142,5.67288484
157,0.607595583
159,5.708316461
163,0.839966864
177,4.702148898
179,0.17169644
181,4.95925028
182,4.928489012
186,0.775778831
188,3.947366398
191,5.557448796
193,3.494286082
201,4.733673966
202,5.253772012
203,4.913735164
208,0.813813783
215,3.792349986
235,5.520082334
239,4.647676105
243,0.813805677
258,6.067783658
261,4.585930563
283,5.405173395
295,5.708524353
298,3.729708257
315,3.649641842
329,0.171705211
334,5.974670208
339,4.578856816
354,5.04931636
358,3.96873995
360,0.813765395
361,3.86224477
364,0.171705211
365,0.808913345
367,4.444483387
385,4.836809828
394,4.863380447
400,5.530053174
404,5.210686657
406,4.757655512
419,4.5554319
429,0.820595937
438,0.918563514
439,4.904452555
440,3.349714599
458,3.50660752
460,5.110638098
470,4.713469012
473,4.615585814
478,4.785035134
485,5.600112705
488,0.839938951
489,0.171740716
503,0.790222352
504,4.085399009
505,4.80333166
506,3.992988132
517,4.03866847
528,0.813800293
530,0.71803363
539,5.572192932
540,0.839934983
543,0.171737709
555,4.596266007
558,0.171737363
562,0.766753349
565,0.790218959
568,4.019796542
569,5.12884341
575,0.773520264
576,0.17173706
581,0.17173706
583,4.616241908
587,5.274947761
591,0.718030581
594,4.528224065
596,4.229811979
613,4.814038876
616,4.592913995
618,4.035750084
619,0.878389134
622,5.094791572
623,5.625424106
625,4.814357581
630,5.560955861
641,5.021524103
642,0.829618491
647,4.716500431
654,0.171736778
660,5.233142714
661,5.601530577
666,3.290018713
671,2.809332133
676,4.285636362
681,5.517531172
691,4.885945765
693,4.304309424
704,0.820590332
706,4.931213081
711,5.073312291
741,5.980637527
744,0.917469648
745,4.898055597
754,3.137984309
758,4.776702702
769,4.945795182
774,4.969474977
781,4.317695642
782,5.71194632
786,4.519527757
804,4.777705798
813,0.171736412
814,4.121453635
815,5.648023625
818,3.752445776
819,4.321055047
832,5.172986238
836,4.978240384
837,0.171736412
842,3.793724092
854,0.171736412
855,0.867322689
870,0.755127601
873,5.0927741
874,3.329935676
893,4.596959579
894,5.269043948
895,0.839933517
900,4.900509859
903,0.171736243
912,4.12712445
913,0.171736243
916,4.247641005
918,0.171736243
920,5.311565312
921,0.89184778
930,5.86691067
955,3.797360296
957,5.081760743
960,5.668579707
964,4.35261731
974,4.44657879
977,0.171736239
978,0.813796423
981,3.398985896
997,4.966702098
1000,5.254226884
1011,4.660211105
1022,5.094892691
1023,4.867803114
1028,4.359486896
1032,3.68442492
1044,4.621740926
1045,0.813796337
1050,4.592328751
1062,4.93009157
1071,4.531958453
1072,0.171736153
1080,0.607633092
1098,4.392124548
1101,0.171736147
1102,0.718029668
1107,0.943159702
1111,5.612323005
1116,0.812358596
1131,0.171736147
