,uid,shang12
19197,26.0,5.981659383752612
19198,54.0,5.557921064905437
19199,69.0,5.206056482753439
19200,83.0,5.181037045186173
19201,85.0,5.586741267113562
19202,103.0,5.831936196138095
19203,109.0,5.881174320558179
19204,118.0,5.925306191943385
19205,127.0,5.587115990352107
19206,134.0,5.8710618090876805
19207,147.0,5.4710972018479875
19208,153.0,6.100265349475125
19209,157.0,5.464367606359646
19210,163.0,5.119922773857807
19211,164.0,6.241925019892474
19212,179.0,5.522580794389775
19213,186.0,5.487477796728812
19214,195.0,5.404823782934509
19215,208.0,5.868758444126238
19216,211.0,6.242249662068854
19217,229.0,6.2144837003424644
19218,237.0,6.099532442075446
19219,243.0,5.644876600764439
19220,253.0,4.843839799056539
19221,274.0,6.308468348172362
19222,280.0,6.726689418821692
19223,294.0,6.352280385358979
19224,308.0,5.212922878168716
19225,313.0,4.751155955786576
19226,320.0,6.3979078219454495
19227,327.0,5.473621563482974
19228,360.0,5.012939504233438
19229,364.0,5.172360599453055
19230,375.0,5.847779136765855
19231,384.0,6.010904992730827
19232,391.0,6.395045235460108
19233,429.0,6.574874117432801
19234,431.0,5.5686686068587665
19235,438.0,5.596214263826731
19236,449.0,5.482911275126772
19237,452.0,5.787696736092183
19238,471.0,6.2109920655113715
19239,476.0,5.37943687000263
19240,488.0,6.1304684658650626
19241,489.0,5.116564583843594
19242,496.0,6.727873459751205
19243,503.0,5.847656499541339
19244,510.0,5.806159986019296
19245,516.0,5.499575635723057
19246,528.0,5.384666971320214
19247,530.0,4.629135090711776
19248,531.0,5.481113178261417
19249,551.0,4.230038766942929
19250,558.0,5.2119551289420425
19251,560.0,5.948775259178376
19252,562.0,5.023027143699194
19253,576.0,4.9231516918184415
19254,581.0,5.144448594272581
19255,591.0,4.761872476228911
19256,599.0,5.961537360920892
19257,615.0,6.0364394155888474
19258,619.0,5.801580980556967
19259,649.0,5.75592996984035
19260,662.0,6.318876470844157
19261,671.0,5.521193155478411
19262,682.0,5.857051643493595
19263,685.0,5.319180856399763
19264,688.0,5.856412386083663
19265,692.0,5.859857523016952
19266,697.0,5.227427944234078
19267,704.0,4.742345163655835
19268,717.0,4.940934774285534
19269,729.0,5.6290125435299085
19270,740.0,5.098496702851598
19271,744.0,6.852032857049048
19272,751.0,5.382290894753552
19273,754.0,4.7141427415892725
19274,759.0,4.418401513805762
19275,772.0,6.613376905781472
19276,813.0,4.707003020094234
19277,828.0,5.105198168198128
19278,834.0,5.389993334873463
19279,839.0,6.077376519049647
19280,840.0,4.744210267729978
19281,853.0,6.413765865291216
19282,854.0,5.322682498184868
19283,856.0,5.486807967624344
19284,863.0,5.024427604446513
19285,875.0,5.56981512710676
19286,876.0,6.726554758725962
19287,884.0,5.913717059625744
19288,896.0,5.122382655554362
19289,913.0,5.888130356928736
19290,918.0,6.388610949297856
19291,921.0,6.86529146092168
19292,927.0,5.84880746960228
19293,958.0,5.80176771569597
19294,977.0,4.956785374522224
19295,978.0,5.11332437586006
19296,1020.0,5.8633503514128655
19297,1027.0,4.980570950599242
19298,1030.0,4.667592639241162
19299,1040.0,5.80302217841759
19300,1045.0,4.823395593869073
19301,1056.0,5.865410624718285
19302,1059.0,4.858646428023869
19303,1060.0,5.865410918826998
19304,1061.0,5.155487603691468
19305,1078.0,5.648168841555345
19306,1080.0,5.458771692137898
19307,1101.0,6.075791820798363
19308,1102.0,4.672880977996348
19309,1107.0,5.989967878525158
19310,1116.0,5.980104937909243
19311,1131.0,6.354721476238577
19312,1133.0,5.976344097294043
19313,1152.0,4.987922797874282
19314,1177.0,5.215961220695243
19315,1180.0,5.548383467805612
19316,1186.0,4.498895642216805
19317,1193.0,5.881979243150793
19318,1202.0,5.806787819575476
19319,1220.0,4.972112855153226
19320,1233.0,5.740404762858721
19321,1234.0,5.477602502595705
19322,1239.0,5.662321860249255
19323,1248.0,5.409458421794309
19324,1251.0,6.726582331417827
19325,1268.0,5.909563230485313
19326,1275.0,6.209545467119732
19327,1279.0,5.605825463001797
19328,1286.0,4.777410482824926
19329,1293.0,5.557137019608813
19330,1306.0,5.355484149015327
19331,1317.0,5.541908009619091
19332,1343.0,6.20932433341377
19333,1362.0,5.517353588250687
19334,1390.0,5.494714838267647
19335,1394.0,5.483837718585818
19336,1397.0,6.185857521270078
19337,1430.0,5.505385525969369
19338,1468.0,6.23222385036099
19339,1500.0,5.8393454971998136
19340,1508.0,6.512490795647661
19341,1509.0,5.5977243831661125
19342,1510.0,4.83887994354764
19343,1519.0,4.603661953158477
19344,1521.0,5.705389778782271
19345,1532.0,6.5123792796189415
19346,1566.0,5.424195736140019
19347,1577.0,5.393754476109352
19348,1580.0,6.856087582999653
19349,1610.0,6.386427445169245
19350,1621.0,6.449166191875518
19351,1624.0,6.365775632559898
19352,1629.0,5.947489096205117
19353,1637.0,6.414707327401008
19354,1638.0,5.739268231071414
19355,1658.0,5.529916293991837
19356,1661.0,5.851870120921157
