uid,sum(loan_amount/plannum)
39,2.4418190478333335
45,16.737690655
68,1.3452597473333334
72,0.7397581884166667
73,1.7947202279166667
87,16.234418155
89,1.1226052201666668
92,5.079820169333334
116,12.752211095333333
121,39.146527473333336
126,12.221194990666667
133,2.6311034139166662
138,11.445536726
139,35.604166117
142,17.645202452583334
159,0.9886354278333332
170,1.4728373491666669
182,13.9905622
188,6.297355762666666
191,1.8546973895
193,9.012720605
201,3.9072702899999996
202,29.514510164999997
215,1.1090265183333334
239,2.3221596998333336
258,14.615293941166666
295,12.0272358615
298,16.740856610999998
315,8.406967941
334,19.536860985333334
339,38.446252263333335
361,9.267493645
385,1.4619381483333331
389,7.252707393166666
393,1.5605405448333334
404,57.10518573266666
406,26.61663644
419,10.989578865999999
420,9.178540346
436,7.195120528666667
439,0.8176038303333333
460,23.810485872
473,0.70999218275
504,31.37902261416667
506,5.7620124163333335
517,10.527000259000001
539,1.8080840336666668
555,11.306905374
568,14.517113965
583,22.029844584000003
594,10.0996936935
606,1.4308835663333335
613,74.25421206299998
618,1.6163099613333332
622,11.607966873999999
623,11.014922292000001
625,1.5512828465
627,2.178621555166667
643,17.477900284666667
651,7.118605649583332
660,17.939062977333336
661,11.59891175
681,11.558809124
691,10.590006461666666
693,5.538242289166667
696,10.045435516
706,2.959058598666666
739,9.015667521000001
745,51.511808388
758,18.135607998833336
760,0.8272767815000001
774,2.097351509
781,1.717846035
786,58.21369321900001
798,1.616406488
804,17.171222734
814,35.622870602
818,21.438923011999997
825,9.446033644
832,2.1506134359166666
842,24.929507009833337
882,15.880434334
894,11.627557879000001
900,18.573521733
912,15.360021392
920,7.768375338250001
951,15.103223997
955,13.30831822
964,8.827748265666667
974,17.615324933666667
1000,3.572720867666667
1004,0.9537947271666667
1022,2.301977840166667
1032,2.002973298166667
1053,6.691126436666666
1062,5.90818086275
1063,1.3592075406666666
1071,2.7178460368333335
1075,2.7178460368333335
1098,0.8820256548333334
1132,0.8914641585833334
1153,2.2898065838333332
1166,2.059107668166667
1175,21.891236526000004
1176,15.771884280000002
1195,21.774139305
1205,0.7871694703333333
1216,23.605445633833334
1217,9.154748474
1231,1.0280954754166667
1232,1.4308835663333335
1237,6.107332832166667
1238,11.445536726
1241,2.861767132666667
1258,17.771436876
1290,6.820021807083334
1313,5.9434215445000005
1327,11.903527435
1328,23.031986549
1337,1.7640513096666668
1351,14.924528838
1355,3.5178333294999993
1357,12.017839789
1377,1.6507685849999998
1379,4.1589769749166665
1381,0.9399259779166667
1385,1.3589230184166667
1387,9.446033644
1396,2.526366472666667
1402,2.276833209416667
1418,1.5026112535
1421,1.6094143937499998
1446,7.72518909
1452,4.686235434166667
1459,4.20862929975
1478,12.878262066000001
1479,34.336610178
1482,5.346136573
1484,2.8847714756666667
1529,1.25860199975
1539,1.32303848225
1547,3.0156565896666674
1563,1.9055026286666668
1593,9.298005623
1594,1.1449032919166666
1614,1.6394074243333332
1631,18.713527288999998
1653,4.763497207333334
1655,2.0437373113333335
1656,3.1680527379166668
1662,38.192200447
1665,1.1984083934166667
1695,1.67656562775
1731,8.585301398
1732,20.508674465
1735,10.314806255
1746,1.6692365103333335
1754,0.7871694703333333
1775,6.238224215333332
1779,3.741316249333333
1786,9.584618422
1804,4.672861478333333
1808,1.2624898799166666
1819,25.746792192
1842,16.573728818
1850,8.633085483999999
1852,2.539910084666667
1856,1.6163444455000002
1857,1.3361255865
1864,7.750508516333333
1869,0.9009141634166666
1877,4.861286803333334
1892,14.320080466
1909,14.560164448000002
1925,3.3690333378333337
1926,4.578036328166666
1930,1.9075894543333334
1941,2.218053036666667
1949,9.747792039
1962,1.9695971126666665
1968,5.5153759251666665
1988,17.14549706
2003,7.310070322333335
2004,2.8885511391666667
2009,21.715699557
2015,28.046319587
2020,0.8711172606666667
2039,2.7367299453333334
2048,47.88651355
2065,10.446551087333333
2067,14.559978688000001
2073,6.966402042666666
2077,14.242336591
2079,9.446033644
2096,26.007626890999997
2101,1.4075959243333334
2117,13.888862241
2135,12.306843245
2148,1.6860488597499999
2158,31.370456233
2163,0.8473723456666666
2186,1.3592075406666666
2188,2.9607605096666667
2191,16.562626581
2199,18.242999091
2213,1.4309352278333334
2214,8.118773825166667
2215,0.9124554188333334
2220,1.9075894543333334
2222,14.15839454966667
2228,4.924242073416666
2248,7.439803460833334
2251,30.451035902
2254,0.9389026015833333
2270,2.7604377634999997
2279,14.655145119499998
2280,5.723534265333334
2289,19.427133983666668
2303,10.128381051
2309,18.061945258
2364,8.339208169166666
2375,10.799690376000001
2378,6.581691380500001
2384,6.8085697409999995
2428,48.551160413999995
2445,4.900813087666667
2450,1.4903926749166665
2452,10.015170751
2456,18.780975837666666
2465,9.584804628
2471,5.246445426166667
2472,0.7594258897499999
2475,66.569075427
2478,1.5140212820833332
2485,1.025568976
2486,13.88253313
2488,5.908960660333333
2491,9.837851507333333
2492,14.914070843000001
2507,25.121042449
2518,0.75130562675
2532,12.425261154
2538,9.876554927
2547,15.45037818
2553,5.115885757916667
2582,31.582535211
2583,12.479333775
2584,12.128091146
2585,9.154748474
2591,9.4575823755
2593,2.275982328
2606,2.985686268666667
2615,11.608988025166667
2624,31.366571909666664
2631,7.583388018166666
2686,39.198149673
2690,1.7300402781666668
2695,2.0746493238333334
2712,16.085488243
2719,12.448205911999999
2724,18.460241568
2735,1.12182133775
2742,39.01944416600001
2749,21.377642172
2754,2.243055480583333
2762,1.96680423975
2764,23.18510593
2774,7.316172447166666
2785,8.41451954875
2801,21.445815085
2805,1.273493263
2806,22.671255986000002
2830,12.965060541
2831,12.584109054
2834,5.548954694
2838,0.8897433610000001
2844,5.908960660333333
2855,1.3027749585
2860,3.7923919773333337
2878,4.3245980575
2894,11.608538472
2896,11.445536726
2902,3.242720005
2932,18.372709464833335
2942,12.226547303
2953,2.7900911070000003
2955,17.581414956833335
2957,23.127929036
2965,6.614260178416666
2971,25.587500067
2973,43.711880565
