uid,sum(loan_amount)
39,29.301828573999998
45,16.737690655
68,10.558979957
72,8.877098261
73,21.536642735
87,23.84030701
89,13.471262642
92,9.015667521000001
116,26.436171262
121,43.082374825
126,24.714230392
133,12.935349236
138,11.445536726
139,35.604166117
142,22.891073452
159,11.863625134
170,17.67404819
182,13.9905622
188,9.446033644
191,16.8509527
193,11.587783635
201,11.721810869999999
202,29.514510164999997
215,13.30831822
239,27.865916398
258,24.004319957
295,16.321850948999998
298,16.740856610999998
315,8.406967941
334,23.352039894
339,43.425150005
361,9.267493645
385,8.771628889999999
389,17.928622869
393,9.363243269
404,64.068980422
406,26.61663644
419,10.989578865999999
420,9.178540346
436,23.857750446999997
439,9.811245964000001
460,23.810485872
473,8.519906193
504,46.926969848000006
506,9.697859768
517,14.672702714
539,10.848504202
555,11.306905374
568,14.517113965
583,22.029844584000003
594,17.105500311
606,8.585301398
613,74.25421206299998
618,19.395719536
622,14.924528838
623,11.014922292000001
625,9.307697079
627,15.559150804000002
643,21.833486588
651,85.42326779500003
660,21.556253708
661,11.59891175
681,11.558809124
691,18.461701165
693,10.307215925000001
696,10.045435516
706,8.877175796
739,9.015667521000001
745,51.511808388
758,29.297990307
760,9.927321378
774,12.584109054
781,10.30707621
786,58.21369321900001
798,9.698438928
804,17.171222734
814,43.898924644999994
818,21.438923011999997
825,9.446033644
832,21.084344409
842,38.882376005000005
882,15.880434334
894,15.295011469
900,18.573521733
912,15.360021392
920,93.220504059
951,15.103223997
955,13.30831822
964,15.672412849
974,21.143427553000002
1000,26.943786352000004
1004,11.445536726
1022,13.811867041
1032,12.447895942999999
1053,9.932194169999999
1062,37.595410526
1063,8.155245244
1071,11.014922292000001
1075,11.014922292000001
1098,10.584307858
1132,10.697569903000002
1153,9.446188804
1166,12.354646009
1175,21.891236526000004
1176,15.771884280000002
1195,21.774139305
1205,9.446033644
1216,28.015573908
1217,9.154748474
1231,12.337145705
1232,8.585301398
1237,10.876306468
1238,11.445536726
1241,8.585301398
1258,17.771436876
1290,43.066456192000004
1313,19.809250145999997
1327,11.903527435
1328,23.031986549
1337,21.168615716
1351,14.924528838
1355,21.106999977
1357,12.017839789
1377,9.904611509999999
1379,49.907723698999995
1381,11.279111735
1385,11.014922292000001
1387,18.892067288
1396,20.162642143
1402,16.307076221000003
1418,9.015667521000001
1421,11.587783635
1446,7.72518909
1452,9.015667521000001
1459,30.328653563
1478,12.878262066000001
1479,34.336610178
1482,9.43036647
1484,30.324607008999998
1529,10.128381051
1539,15.876461787
1547,36.187879076
1563,11.433015772000001
1593,9.298005623
1594,9.446188804
1614,9.836444546
1631,18.713527288999998
1653,9.268010519
