,uid,loan_sum,shang10,shang9,shang8,shang11
0,34939.0,6.316422771,5.5924154445,5.5924154445,5.405415973999999,5.779414915
1,80338.0,6.2126305770000005,5.0360276305000005,5.0360276305000005,4.292650699,5.779404562000001
2,5018.0,6.153413856,6.153413856,5.484804101,4.7533170689999995,6.153413856
3,58005.0,6.793132399,6.793132399,6.793132399,6.793132399,6.793132399
4,52453.0,4.292650699,4.46046583033,5.405415973999999,4.71951083444,4.292650699
5,45117.0,6.770536322000001,6.770536322000001,6.770536322000001,6.770536322000001,6.770536322000001
6,41592.0,5.501180385,4.861601599999999,5.722768362999999,5.722768362999999,5.0075853755
7,8679.0,6.153413856,5.722768362999999,5.722768362999999,5.722768362999999,5.722768362999999
8,21745.0,5.405415973999999,5.405415973999999,5.405415973999999,5.405415973999999,5.405415973999999
9,45828.0,4.227255494,4.698066097,6.153413856,5.026245149,4.227255494
10,17226.0,5.2921539289999995,4.292650699,4.6148698235,4.544373396,5.0075853755
11,90569.0,6.722718659,6.722718659,6.722718659,6.722718659,6.722718659
12,16838.0,5.405415973999999,4.723016822,4.723016822,4.61542529125,4.723016822
13,27792.0,5.153538105,3.919132555,3.90028655167,4.6337468225,4.376661587669999
14,25820.0,5.2921539289999995,5.06420346175,4.792402313999999,4.974842946,4.8489298839999995
15,583.0,6.405333138,5.58705189656,5.2921539289999995,5.2921539289999995,5.507461146
16,51593.0,4.723016822,5.2228925925,5.2228925925,5.722768362999999,4.723016822
17,16281.0,5.2921539289999995,5.501180385,5.2921539289999995,5.2921539289999995,5.2921539289999995
18,6647.0,6.405333138,4.904084271,4.6721894473,4.912795232790001,5.507461146
19,67759.0,5.2921539289999995,5.2921539289999995,5.2921539289999995,5.2921539289999995,5.2921539289999995
20,68677.0,4.292650699,4.292650699,4.292650699,4.292650699,4.292650699
21,40036.0,5.3843553260000006,4.372515254,4.4187187455000005,3.975670565,4.7231564514999995
22,34146.0,4.071302059,5.2921539289999995,4.635943128,4.544373396,4.071302059
23,9050.0,5.153538105,3.9876625307499998,4.1907737458,4.389942165,5.153538105
24,78717.0,6.2126305770000005,6.2126305770000005,6.2126305770000005,6.2126305770000005,6.2126305770000005
25,1112.0,6.292054527,5.65479920767,5.973426867330001,5.973426867330001,6.292054527
26,20801.0,6.087953139,6.087953139,6.087953139,6.087953139,6.087953139
27,65281.0,7.045058337,6.614389175,6.614389175,6.614389175,6.614389175
28,7967.0,6.974644153,5.8181550215,5.722768362999999,5.768561157000001,5.7647600865
29,50348.0,7.014743673,5.9811556588,5.9811556588,6.153413856,6.153413856
30,2302.0,4.782208137,4.00594659633,3.862594545,3.9903472786000003,4.782208137
31,53629.0,5.722768362999999,5.722768362999999,5.722768362999999,5.722768362999999,5.722768362999999
32,35477.0,5.3513621780000005,4.49038101333,4.795249056,5.100773255,4.577374237
33,22711.0,6.637618812,5.185466550859999,5.27574967271,5.447138366,5.239216498999999
34,40600.0,5.153538105,4.9383162535,4.723094402,4.9383162535,5.153538105
35,68050.0,6.684274102000001,6.316422771,6.316422771,5.868771551,5.86890082967
36,11072.0,5.153538105,4.17319065622,4.077622622,4.149298647669999,4.292650699
